ADL PERSON transformering til METS;;;
"Forklaring af værdier i først kolonne: XXX = felt, ""XXX"" = konstant værdi, [XXX] = funktion";;;
Forklaring af værdier i anden kolonne: XXX = element navn, '/' = adskillelse mellem under-element, '@' = attribut, [x] = udgave af element;;;
;;;
ADL;METS;CONDITION;namespace
;mets;;mets
provenanceMetadata/fields/uuid;mets@OBJID;;
"""Person""";mets@TYPE;;
[ProfileURL];mets@PROFILE;;
;mets/metsHdr;;mets
[TIME_NOW];mets/metsHdr@CREATEDATE;;
;mets/metsHdr/agent[1];;mets
"""kbDk""";mets/metsHdr/agent[1]@ID;;
"""CREATOR""";mets/metsHdr/agent[1]@ROLE;;
"""ORGANIZATION""";mets/metsHdr/agent[1]@TYPE;;
"""Det Kongelige Bibliotek, Nationalbibliotek og Københavns Universitetsbibliotek""";mets/metsHdr/agent[1]/name;;mets
;mets/metsHdr/agent[2];;mets
"""kbDkYggdrasil""";mets/metsHdr/agent[2]@ID;;
"""CREATOR""";mets/metsHdr/agent[2]@ROLE;;
"""OTHER""";mets/metsHdr/agent[2]@TYPE;;
"""API""";mets/metsHdr/agent[2]@OTHERTYPE;;
[Yggdrasil-version];mets/metsHdr/agent[2]/name;;mets
"""dk.kb.yggdrasil.MetsGenerator (??)""";mets/metsHdr/agent[2]/note;;mets
;mets/metsHdr/agent[3];;mets
"""kbDkNsa""";mets/metsHdr/agent[3]@ID;;
"""EDITOR""";mets/metsHdr/agent[3]@ROLE;;
"""OTHER""";mets/metsHdr/agent[3]@TYPE;;
"""DEPARTMENT""";mets/metsHdr/agent[3]@OTHERTYPE;;
"""NSA: Nationalsamlingsafdelingen""";mets/metsHdr/agent[3]/name;;mets
;mets/dmdSec;;mets
"""Mods1""";mets/dmdSec@ID;;
[DATE-NOW];mets/dmdSec@CREATED;;
;mets/dmdSec/mdWrap;;mets
"""MODS""";mets/dmdSec/mdWrap@MDTYPE;;
;mets/dmdSec/mdWrap/xmlData;;mets
;mets/dmdSec/mdWrap/xmlData/name;;mets
;mets/dmdSec/mdWrap/xmlData/mods;;mods
"""da""";mets/dmdSec/mdWrap/xmlData/mods/name/@lang;;
;mets/dmdSec/mdWrap/xmlData/mods/name/namePartt[1];;mods
"""given""";mets/dmdSec/mdWrap/xmlData/mods/name/namePartt[1]/@type;;
descMetadata/fields/firstname;mets/dmdSec/mdWrap/xmlData/mods/name/namePartt[1];;mods
;mets/dmdSec/mdWrap/xmlData/mods/name/namePartt[2];;mods
"""family""";mets/dmdSec/mdWrap/xmlData/mods/name/namePartt[2]/@type;;
descMetadata/fields/lastname;mets/dmdSec/mdWrap/xmlData/mods/name/namePartt[2];;mods
;mets/dmdSec/mdWrap/xmlData/mods/name/namePartt[3];;mods
"""date""";mets/dmdSec/mdWrap/xmlData/mods/name/namePartt[3]/@type;;
[CONCAT(descMetadata/fields/date_of_birth, '-', descMetadata/fields/date_of_death)];mets/dmdSec/mdWrap/xmlData/mods/name/namePartt[3];;mods
;mets/amdSec;;mets
;mets/amdSec/rightsMD;;mets
"""ModsRights1""";mets/amdSec/rightsMD@ID;;
[DATE-NOW];mets/amdSec/rightsMD@CREATED;;
;mets/amdSec/rightsMD/mdWrap;;mets
"""MODS""";mets/amdSec/rightsMD/mdWrap@MDTYPE;;
;mets/amdSec/rightsMD/mdWrap/xmlData;;mets
;mets/amdSec/rightsMD/mdWrap/xmlData/mods;;mods
"""Det Kongelige Bibliotek, Nationalbibliotek og Københavns Universitetsbibliotek""";mets/amdSec/rightsMD/mdWrap/xmlData/mods/accessCondition;;mods
;mets/amdSec/digiprovMD[1];;mets
"""Premis1""";mets/amdSec/digiprovMD[1]@ID;;
[DATE-NOW];mets/amdSec/digiprovMD[1]@CREATED;;
;mets/amdSec/digiprovMD[1]/mdWrap;;mets
"""PREMIS""";mets/amdSec/digiprovMD[1]/mdWrap@MDTYPE;;
;mets/amdSec/digiprovMD[1]/mdWrap/xmlData;;mets
;mets/amdSec/digiprovMD[1]/mdWrap/xmlData/preservationLevel[1];;premis
preservationMetadata/fields/preservation_bitsafety;mets/amdSec/digiprovMD[1]/mdWrap/xmlData/preservationLevel[1]/preservationLevelValue;;premis
preservationMetadata/fields/preservation_modify_date;mets/amdSec/digiprovMD[1]/mdWrap/xmlData/preservationLevel[1]/preservationLevelDateAssigned;;premis
;mets/amdSec/digiprovMD[1]/mdWrap/xmlData/preservationLevel[2];;premis
preservationMetadata/fields/preservation_confidentiality;mets/amdSec/digiprovMD[1]/mdWrap/xmlData/preservationLevel[2]/preservationLevelValue;;premis
preservationMetadata/fields/preservation_modify_date;mets/amdSec/digiprovMD[1]/mdWrap/xmlData/preservationLevel[2]/preservationLevelDateAssigned;;premis
;mets/amdSec/digiprovMD[2];;mets
"""PremisEvent1""";mets/amdSec/digiprovMD[2]@ID;;
[DATE-NOW];mets/amdSec/digiprovMD[2]@CREATED;;
;mets/amdSec/digiprovMD[2]/mdWrap;;mets
"""PREMIS:EVENT""";mets/amdSec/digiprovMD[2]/mdWrap@MDTYPE;;
;mets/amdSec/digiprovMD[2]/mdWrap/xmlData;;mets
;mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event;;premis
;mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/eventIdentifier;;premis
"""UUID""";mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/eventIdentifier/eventIdentifierType;;premis
[UUID];mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/eventIdentifier/eventIdentifierValue;;premis
"""ingestion""";mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/eventType;;premis
[DATE-NOW];mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/eventDateTime;;premis
;mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/linkingAgentIdentifier;;premis
"""kbDkInternal""";mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/linkingAgentIdentifier/linkingAgentIdentifierType;;premis
"""kbDkIngest""";mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/linkingAgentIdentifier/linkingAgentIdentifierValue;;premis
;mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/linkingObjectIdentifier;;premis
"""UUID""";mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/linkingObjectIdentifier/linkingObjectIdentifierType;;premis
provenanceMetadata/fields/uuid;mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/linkingObjectIdentifier/linkingObjectIdentifierValue;;premis
;mets/structMap;;mets
"""logical""";mets/structMap@TYPE;;
;mets/structMap/div;;mets
"""Mods1""";mets/structMap/div@DMDID;;
"""ModsRights1 Premis1 PremisEvent1""";mets/structMap/div@AMDID;;
